year,ate,ci_low,ci_high
1,-0.003833141325371381,-0.025860634466018165,0.020522691185371443
2,-0.011168310281011506,-0.038477783643533665,0.01756180075398049
3,-0.011089402057923081,-0.0429244806709104,0.022412814449371165
4,-0.0026449240386984263,-0.04004874637317183,0.035188887898752616
5,0.01094603142258277,-0.026741380768964807,0.05264216516698179
6,0.004318186007153724,-0.03875749538832683,0.04950817287882981
7,0.006244308062417381,-0.038589604210274804,0.056035789578971464
8,0.023736345635741674,-0.031100942125793892,0.0737884889146714
9,0.011081953776456377,-0.04670962201003969,0.0639678288852477
10,0.005520215696022235,-0.06242657017189338,0.07083408820192921
11,0.005790591348568075,-0.06371263992925238,0.07458090747646245
12,0.005790591348568075,-0.06371263992925238,0.07458090747646245
13,-0.010310442620040328,-0.07895876785230271,0.06649967435961571
14,0.010484311411749658,-0.06306938211859178,0.08841707198314945
15,0.021669368504606545,-0.055227454765332494,0.10880208889029558
16,0.010659102629013484,-0.06733124200316133,0.10283076319190639
17,0.02519967684972746,-0.05731341604449769,0.11561170586153213
18,0.012696493567274314,-0.07654243182240128,0.10517769566134139
19,0.03050869698764891,-0.06589755250880075,0.12314685580043504
20,0.04980525069305464,-0.047306563294324804,0.1476475748798614
